ja_prompt,zh_prompt,en_prompt,fr_prompt,ja_prompt_masked,zh_prompt_masked,en_prompt_masked,fr_prompt_masked,ja,zh,en,fr,ja1,zh1,en1,fr1,ar
"""貿易""は、商品やサービスの交換です。答え: ""貿易""","""贸易""是商品和服务的交换。答案: ""贸易""","""Trade"" is the exchange of goods and services. Answer: ""trade""","""Commerce"" est l'échange de biens et services. Réponse: ""commerce""","""__""は、商品やサービスの交換です。答え: ""貿易""","""__""是商品和服务的交换。答案: ""贸易""","""__"" is the exchange of goods and services. Answer: ""trade""","""__"" est l'échange de biens et services. Réponse: ""commerce""",貿易,贸易,trade,commerce,取引,交换,transaction,échange,تجارة
"""電報""は、電信を使ったメッセージです。答え: ""電報""","""电报""是使用电信的消息。答案: ""电报""","""Telegram"" is a message sent by telegraph. Answer: ""telegram""","""Télégramme"" est un message envoyé par télégraphe. Réponse: ""télégramme""","""__""は、電信を使ったメッセージです。答え: ""電報""","""__""是使用电信的消息。答案: ""电报""","""__"" is a message sent by telegraph. Answer: ""telegram""","""__"" est un message envoyé par télégraphe. Réponse: ""télégramme""",電報,电报,telegram,télégramme,テレグラム,短信,message,dépêche,برقية
"""講堂""は、講義が行われる場所です。答え: ""講堂""","""讲堂""是进行讲座的地方。答案: ""讲堂""","""Lecture hall"" is a place where lectures are given. Answer: ""lecture hall""","""Amphithéâtre"" est un lieu où se déroulent les conférences. Réponse: ""amphithéâtre""","""__""は、講義が行われる場所です。答え: ""講堂""","""__""是进行讲座的地方。答案: ""讲堂""","""__"" is a place where lectures are given. Answer: ""lecture hall""","""__"" est un lieu où se déroulent les conférences. Réponse: ""amphithéâtre""",講堂,讲堂,lecture hall,congrès,教室,学校,school,salle,قاعة محاضرات
"""現在""は、今の時点です。答え: ""現在""","""现在""是当前的时间点。答案: ""现在""","""Present"" is the current point in time. Answer: ""present""","""Présent"" est le point actuel dans le temps. Réponse: ""présent""","""__""は、今の時点です。答え: ""現在""","""__""是当前的时间点。答案: ""现在""","""__"" is the current point in time. Answer: ""present""","""__"" est le point actuel dans le temps. Réponse: ""présent""",現在,现在,present,présent,現時点,当前,now,instant,الحاضر
"""状態""は、物事のありさまです。答え: ""状態""","""状态""是事物的情况。答案: ""状态""","""State"" is the condition of something. Answer: ""state""","""état"" est la condition de quelque chose. Réponse: ""état""","""__""は、物事のありさまです。答え: ""状態""","""__""是事物的情况。答案: ""状态""","""__"" is the condition of something. Answer: ""state""","""__"" est la condition de quelque chose. Réponse: ""état""",状態,状态,state,état,様子,状况,condition,entretien,حالة
"""主義""は、信念や価値観です。答え: ""主義""","""主义""是信仰或价值观。答案: ""主义""","""Principle"" is a belief or value. Answer: ""principle""","""Principe"" est une croyance ou une valeur. Réponse: ""principe""","""__""は、信念や価値観です。答え: ""主義""","""__""是信仰或价值观。答案: ""主义""","""__"" is a belief or value. Answer: ""principle""","""__"" est une croyance ou une valeur. Réponse: ""principe""",主義,主义,principle,principe,価値観,信念,worldview,conviction,مبدأ
"""活動""は、行動や運動です。答え: ""活動""","""活动""是行为或运动。答案: ""活动""","""Activity"" is an action or movement. Answer: ""activity""","""Activité"" est une action ou un mouvement. Réponse: ""activité""","""__""は、行動や運動です。答え: ""活動""","""__""是行为或运动。答案: ""活动""","""__"" is an action or movement. Answer: ""activity""","""__"" est une action ou un mouvement. Réponse: ""activité""",活動,活动,activity,activité,運動,动作,motion,mouvement,نشاط
"""意識""は、気づきや認識です。答え: ""意識""","""意识""是觉察或认知。答案: ""意识""","""Consciousness"" is awareness or perception. Answer: ""consciousness""","""Conscience"" est la prise de conscience ou la perception. Réponse: ""conscience""","""__""は、気づきや認識です。答え: ""意識""","""__""是觉察或认知。答案: ""意识""","""__"" is awareness or perception. Answer: ""consciousness""","""__"" est la prise de conscience ou la perception. Réponse: ""conscience""",意識,意识,consciousness,conscience,認知,观察,perception,conscient,وعي
"""個人""は、一人の人間です。答え: ""個人""","""个人""是一个人。答案: ""个人""","""Individual"" is a single person. Answer: ""individual""","""Individu"" est une seule personne. Réponse: ""individu""","""__""は、一人の人間です。答え: ""個人""","""__""是一个人。答案: ""个人""","""__"" is a single person. Answer: ""individual""","""__"" est une seule personne. Réponse: ""individu""",個人,个人,individual,individu,人間,人,person,personne,فرد
"""事実""は、実際に起こったことです。答え: ""事実""","""事实""是实际发生的事情。答案: ""事实""","""Fact"" is something that actually happened. Answer: ""fact""","""Fait"" est quelque chose qui est réellement arrivé. Réponse: ""fait""","""__""は、実際に起こったことです。答え: ""事実""","""__""是实际发生的事情。答案: ""事实""","""__"" is something that actually happened. Answer: ""fact""","""__"" est quelque chose qui est réellement arrivé. Réponse: ""fait""",事実,事实,fact,fait,現実,实际,reality,réalité,حقيقة
"""変化""は、状態の移り変わりです。答え: ""変化""","""变化""是状态的转变。答案: ""变化""","""Change"" is the transition of states. Answer: ""change""","""Changement"" est la transition des états. Réponse: ""changement""","""__""は、状態の移り変わりです。答え: ""変化""","""__""是状态的转变。答案: ""变化""","""__"" is the transition of states. Answer: ""change""","""__"" est la transition des états. Réponse: ""changement""",変化,变化,change,changement,遷移,改变,transition,transition,تغيير
"""同時""は、同じ時間に起こることです。答え: ""同時""","""同时""是同一时间发生的事情。答案: ""同时""","""Simultaneously"" is occurring at the same time. Answer: ""simultaneously""","""Simultanément"" est se produisant en même temps. Réponse: ""simultanément""","""__""は、同じ時間に起こることです。答え: ""同時""","""__""是同一时间发生的事情。答案: ""同时""","""__"" is occurring at the same time. Answer: ""simultaneously""","""__"" est se produisant en même temps. Réponse: ""simultanément""",同時,同时,simultaneously,simultanément,並行,同步,concurrent,concomitant,في نفس الوقت
"""労働""は、体や頭を使って働くことです。答え: ""労働""","""劳动""是用体力或脑力工作。答案: ""劳动""","""Labor"" is working with physical or mental effort. Answer: ""labor""","""Travail"" est travailler avec un effort physique ou mental. Réponse: ""travail""","""__""は、体や頭を使って働くことです。答え: ""労働""","""__""是用体力或脑力工作。答案: ""劳动""","""__"" is working with physical or mental effort. Answer: ""labor""","""__"" est travailler avec un effort physique ou mental. Réponse: ""travail""",労働,劳动,labor,travail,仕事,工作,work,effort,عمل
"""環境""は、周りの状況や条件です。答え: ""環境""","""环境""是周围的状况和条件。答案: ""环境""","""Environment"" is the surrounding conditions or circumstances. Answer: ""environment""","""Environnement"" est les conditions ou circonstances environnantes. Réponse: ""environnement""","""__""は、周りの状況や条件です。答え: ""環境""","""__""是周围的状况和条件。答案: ""环境""","""__"" is the surrounding conditions or circumstances. Answer: ""environment""","""__"" est les conditions ou circonstances environnantes. Réponse: ""environnement""",環境,环境,environment,environnement,周囲,状况,circumstance,conditions,بيئة
"""世紀""は、100年間の期間です。答え: ""世紀""","""世纪""是100年的时间段。答案: ""世纪""","""Century"" is a period of 100 years. Answer: ""century""","""Siècle"" est une période de 100 ans. Réponse: ""siècle""","""__""は、100年間の期間です。答え: ""世紀""","""__""是100年的时间段。答案: ""世纪""","""__"" is a period of 100 years. Answer: ""century""","""__"" est une période de 100 ans. Réponse: ""siècle""",世紀,世纪,century,siècle,センチュリー,百年,hundred years,sécul,قرن
"""効果""は、何かの結果や影響です。答え: ""効果""","""效果""是某事的结果或影响。答案: ""效果""","""Effect"" is the result or influence of something. Answer: ""effect""","""Effet"" est le résultat ou l'influence de quelque chose. Réponse: ""effet""","""__""は、何かの結果や影響です。答え: ""効果""","""__""是某事的结果或影响。答案: ""效果""","""__"" is the result or influence of something. Answer: ""effect""","""__"" est le résultat ou l'influence de quelque chose. Réponse: ""effet""",効果,效果,effect,effet,結果,后果,consequence,résultat,تأثير
"""調査""は、情報を集めるための研究です。答え: ""調査""","""调查""是为了收集信息的研究。答案: ""调查""","""Survey"" is research to gather information. Answer: ""survey""","""Enquête"" est une recherche pour recueillir des informations. Réponse: ""enquête""","""__""は、情報を集めるための研究です。答え: ""調査""","""__""是为了收集信息的研究。答案: ""调查""","""__"" is research to gather information. Answer: ""survey""","""__"" est une recherche pour recueillir des informations. Réponse: ""enquête""",調査,调查,survey,enquête,リサーチ,研究,research,recherche,مسح
"""時期""は、特定の期間です。答え: ""時期""","""时期""是特定的时间段。答案: ""时期""","""Period"" is a specific duration of time. Answer: ""period""","""Période"" est une durée spécifique de temps. Réponse: ""période""","""__""は、特定の期間です。答え: ""時期""","""__""是特定的时间段。答案: ""时期""","""__"" is a specific duration of time. Answer: ""period""","""__"" est une durée spécifique de temps. Réponse: ""période""",時期,时期,period,période,期間,期间,minute,durée,فترة
"""責任""は、義務や責務です。答え: ""責任""","""责任""是义务或职责。答案: ""责任""","""Responsibility"" is duty or obligation. Answer: ""responsibility""","""Responsabilité"" est le devoir ou l'obligation. Réponse: ""responsabilité""","""__""は、義務や責務です。答え: ""責任""","""__""是义务或职责。答案: ""责任""","""__"" is duty or obligation. Answer: ""responsibility""","""__"" est le devoir ou l'obligation. Réponse: ""responsabilité""",責任,责任,responsibility,responsabilité,義務,义务,obligation,devoir,مسؤولية
"""企業""は、ビジネスを行う組織です。答え: ""企業""","""企业""是进行商业活动的组织。答案: ""企业""","""Enterprise"" is an organization conducting business. Answer: ""enterprise""","""Entreprise"" est une organisation qui mène des affaires. Réponse: ""entreprise""","""__""は、ビジネスを行う組織です。答え: ""企業""","""__""是进行商业活动的组织。答案: ""企业""","""__"" is an organization conducting business. Answer: ""enterprise""","""__"" est une organisation qui mène des affaires. Réponse: ""entreprise""",企業,企业,enterprise,entreprise,会社,公司,company,société,شركة
"""現実""は、実際の状況です。答え: ""現実""","""现实""是实际的情况。答案: ""现实""","""Reality"" is the actual situation. Answer: ""reality""","""Réalité"" est la situation réelle. Réponse: ""réalité""","""__""は、実際の状況です。答え: ""現実""","""__""是实际的情况。答案: ""现实""","""__"" is the actual situation. Answer: ""reality""","""__"" est la situation réelle. Réponse: ""réalité""",現実,现实,reality,réalité,現状,现状,circumstance,réel,واقع
"""組織""は、目標を達成するための集団です。答え: ""組織""","""组织""是为了实现目标的群体。答案: ""组织""","""Organization"" is a group formed to achieve goals. Answer: ""organization""","""Organisation"" est un groupe formé pour atteindre des objectifs. Réponse: ""organisation""","""__""は、目標を達成するための集団です。答え: ""組織""","""__""是为了实现目标的群体。答案: ""组织""","""__"" is a group formed to achieve goals. Answer: ""organization""","""__"" est un groupe formé pour atteindre des objectifs. Réponse: ""organisation""",組織,组织,organization,organisation,チーム,团体,team,association,تنظيم
"""保険""は、リスクを管理するための制度です。答え: ""保険""","""保险""是管理风险的制度。答案: ""保险""","""Insurance"" is a system to manage risk. Answer: ""insurance""","""Assurance"" est un système pour gérer les risques. Réponse: ""assurance""","""__""は、リスクを管理するための制度です。答え: ""保険""","""__""是管理风险的制度。答案: ""保险""","""__"" is a system to manage risk. Answer: ""insurance""","""__"" est un système pour gérer les risques. Réponse: ""assurance""",保険,保险,insurance,assurance,リスク管理,风控,risk management,contrôle,تأمين
"""機能""は、特定の役割を果たすことです。答え: ""機能""","""机能""是发挥特定作用。答案: ""机能""","""Function"" is to perform a specific role. Answer: ""function""","""Fonction"" est de remplir un rôle spécifique. Réponse: ""fonction""","""__""は、特定の役割を果たすことです。答え: ""機能""","""__""是发挥特定作用。答案: ""机能""","""__"" is to perform a specific role. Answer: ""function""","""__"" est de remplir un rôle spécifique. Réponse: ""fonction""",機能,机能,function,fonction,役割,功能,act,rôle,وظيفة
"""絶対""は、他に比べるものがないことです。答え: ""絶対""","""绝对""是没有可比性的事物。答案: ""绝对""","""Absolute"" is something incomparable. Answer: ""absolute""","""Absolu"" est quelque chose d'incomparable. Réponse: ""absolu""","""__""は、他に比べるものがないことです。答え: ""絶対""","""__""是没有可比性的事物。答案: ""绝对""","""__"" is something incomparable. Answer: ""absolute""","""__"" est quelque chose d'incomparable. Réponse: ""absolu""",絶対,绝对,absolute,absolu,ユニーク,唯一,unique,incomparable,مطلق
"""価値""は、物の重要性や有用性です。答え: ""価値""","""价值""是物品的重要性或有用性。答案: ""价值""","""Value"" is the importance or usefulness of something. Answer: ""value""","""Valeur"" est l'importance ou l'utilité de quelque chose. Réponse: ""valeur""","""__""は、物の重要性や有用性です。答え: ""価値""","""__""是物品的重要性或有用性。答案: ""价值""","""__"" is the importance or usefulness of something. Answer: ""value""","""__"" est l'importance ou l'utilité de quelque chose. Réponse: ""valeur""",価値,价值,value,valeur,意義,重要,significance,importance,قيمة
"""行為""は、人の行動や行いです。答え: ""行為""","""行为""是人的动作或活动。答案: ""行为""","""Behavior"" is a person's actions or conduct. Answer: ""behavior""","""Comportement"" est les actions ou la conduite d'une personne. Réponse: ""comportement""","""__""は、人の行動や行いです。答え: ""行為""","""__""是人的动作或活动。答案: ""行为""","""__"" is a person's actions or conduct. Answer: ""behavior""","""__"" est les actions ou la conduite d'une personne. Réponse: ""comportement""",行為,行为,behavior,comportement,行動,活动,demeanor,conduct,سلوك
"""同様""は、同じようなことです。答え: ""同様""","""同样""是相同的事物。答案: ""同样""","""Same"" is something has no difference. Answer: ""same""","""Semblable"" est quelque chose qui n'a aucune différence. Réponse : ""semblable""","""__""は、同じようなことです。答え: ""同様""","""__""是相同的事物。答案: ""同样""","""__"" is something has no difference. Answer: ""same""","""__"" est quelque chose qui n'a aucune différence. Réponse : ""semblable""",同様,同样,same,semblable,類似,相同,equal,similaire,نفس
"""報告""は、情報を伝えることです。答え: ""報告""","""报告""是传达信息的行为。答案: ""报告""","""Report"" is the act of conveying information. Answer: ""report""","""Rapport"" est l'acte de transmettre des informations. Réponse: ""rapport""","""__""は、情報を伝えることです。答え: ""報告""","""__""是传达信息的行为。答案: ""报告""","""__"" is the act of conveying information. Answer: ""report""","""__"" est l'acte de transmettre des informations. Réponse: ""rapport""",報告,报告,report,rapport,通信,传达,transmission,communication,تقرير
"""期間""は、特定の時間の範囲です。答え: ""期間""","""期间""是特定的时间段。答案: ""期间""","""Period"" is a specific range of time. Answer: ""period""","""Période"" est une plage de temps spécifique. Réponse: ""période""","""__""は、特定の時間の範囲です。答え: ""期間""","""__""是特定的时间段。答案: ""期间""","""__"" is a specific range of time. Answer: ""period""","""__"" est une plage de temps spécifique. Réponse: ""période""",期間,期间,period,période,時期,时间,era,moment,فترة
"""自動""は、自ら動作することの意味です。答え: ""自動""","""自动""是自行运作的意思。答案: ""自动""","""Automatic"" means operating by itself. Answer: ""automatic""","""Automatique"" signifie fonctionner par soi-même. Réponse: ""automatique""","""__""は、自ら動作することの意味です。答え: ""自動""","""__""是自行运作的意思。答案: ""自动""","""__"" means operating by itself. Answer: ""automatic""","""__"" signifie fonctionner par soi-même. Réponse: ""automatique""",自動,自动,automatic,automatique,自律,独立,autonomous,autonome,تلقائي
"""委員""は、委員会のメンバーです。答え: ""委員""","""委员""是委员会的成员。答案: ""委员""","""Committee member"" is a member of a committee. Answer: ""committee member""","""Membre du comité"" est un membre d'un comité. Réponse: ""membre du comité""","""__""は、委員会のメンバーです。答え: ""委員""","""__""是委员会的成员。答案: ""委员""","""__"" is a member of a committee. Answer: ""committee member""","""__"" est un membre d'un comité. Réponse: ""membre du comité""",委員,委员,committee member,comité,メンバー,会员,member,membre,عضو لجنة
"""知識""は、情報や理解です。答え: ""知識""","""知识""是信息或理解。答案: ""知识""","""Knowledge"" is information or understanding. Answer: ""knowledge""","""Connaissance"" est l'information ou la compréhension. Réponse: ""connaissance""","""__""は、情報や理解です。答え: ""知識""","""__""是信息或理解。答案: ""知识""","""__"" is information or understanding. Answer: ""knowledge""","""__"" est l'information ou la compréhension. Réponse: ""connaissance""",知識,知识,knowledge,connaissance,知見 ,知道,intelligence,savoir,معرفة
"""指導""は、教え導くことです。答え: ""指導""","""指导""是教授和引导。答案: ""指导""","""Guidance"" is the act of teaching and leading. Answer: ""guidance""","""Orientation"" est l'acte d'enseigner et de diriger. Réponse: ""orientation""","""__""は、教え導くことです。答え: ""指導""","""__""是教授和引导。答案: ""指导""","""__"" is the act of teaching and leading. Answer: ""guidance""","""__"" est l'acte d'enseigner et de diriger. Réponse: ""orientation""",指導,指导,guidance,orientation,教育,老师,instruction,enseignement,إرشاد
"""事務""は、オフィスでの業務です。答え: ""事務""","""事务""是办公室的工作。答案: ""事务""","""Office work"" is tasks performed in an office. Answer: ""office work""","""Travail de bureau"" est les tâches effectuées dans un bureau. Réponse: ""travail de bureau""","""__""は、オフィスでの業務です。答え: ""事務""","""__""是办公室的工作。答案: ""事务""","""__"" is tasks performed in an office. Answer: ""office work""","""__"" est les tâches effectuées dans un bureau. Réponse: ""travail de bureau""",事務,事务,office work,travail de bureau,オフィス,工作,business,bureautique,أعمال مكتبية
"""比較""は、二つ以上のものを比べることです。答え: ""比較""","""比较""是对两个或多个事物进行对比。答案: ""比较""","""Comparison"" is the act of comparing two or more things. Answer: ""comparison""","""Comparaison"" est l'acte de comparer deux ou plusieurs choses. Réponse: ""comparaison""","""__""は、二つ以上のものを比べることです。答え: ""比較""","""__""是对两个或多个事物进行对比。答案: ""比较""","""__"" is the act of comparing two or more things. Answer: ""comparison""","""__"" est l'acte de comparer deux ou plusieurs choses. Réponse: ""comparaison""",比較,比较,comparison,comparaison,比べる,对比,contrast,évaluation,مقارنة
"""記憶""は、過去の出来事を覚えていることです。答え: ""記憶""","""记忆""是记住过去的事情。答案: ""记忆""","""Memory"" is the ability to remember past events. Answer: ""memory""","""Mémoire"" est la capacité de se souvenir des événements passés. Réponse: ""mémoire""","""__""は、過去の出来事を覚えていることです。答え: ""記憶""","""__""是记住过去的事情。答案: ""记忆""","""__"" is the ability to remember past events. Answer: ""memory""","""__"" est la capacité de se souvenir des événements passés. Réponse: ""mémoire""",記憶,记忆,memory,mémoire,思い出,回忆,retention,souvenir,ذاكرة
"""現代""は、現在の時代です。答え: ""現代""","""现代""是当前的时代。答案: ""现代""","""Modern"" is the current era. Answer: ""modern""","""Moderne"" est l'époque actuelle. Réponse: ""moderne""","""__""は、現在の時代です。答え: ""現代""","""__""是当前的时代。答案: ""现代""","""__"" is the current era. Answer: ""modern""","""__"" est l'époque actuelle. Réponse: ""moderne""",現代,现代,modern,moderne,現在,当代,current,temps présent,حديث
"""種類""は、物のタイプやカテゴリーです。答え: ""種類""","""种类""是物品的类型或类别。答案: ""种类""","""Type"" is a category or kind of something. Answer: ""type""","""Genre"" est une catégorie ou un type de quelque chose. Réponse: ""genre""","""__""は、物のタイプやカテゴリーです。答え: ""種類""","""__""是物品的类型或类别。答案: ""种类""","""__"" is a category or kind of something. Answer: ""type""","""__"" est une catégorie ou un type de quelque chose. Réponse: ""genre""",種類,种类,type,genre,タイプ,类型,class,catégorie,نوع
"""過去""は、以前の時期です。答え: ""過去""","""过去""是以前的时间段。答案: ""过去""","""Past"" is a time that has already happened. Answer: ""past""","""Passé"" est une période de temps déjà écoulée. Réponse: ""passé""","""__""は、以前の時期です。答え: ""過去""","""__""是以前的时间段。答案: ""过去""","""__"" is a time that has already happened. Answer: ""past""","""__"" est une période de temps déjà écoulée. Réponse: ""passé""",過去,过去,past,passé,昔,以前,history,temps passé,ماضي
"""経営""は、ビジネスを運営することです。答え: ""経営""","""经营""是管理业务。答案: ""经营""","""Management"" is the act of running a business. Answer: ""management""","""Gestion"" est l'acte de diriger une entreprise. Réponse: ""gestion""","""__""は、ビジネスを運営することです。答え: ""経営""","""__""是管理业务。答案: ""经营""","""__"" is the act of running a business. Answer: ""management""","""__"" est l'acte de diriger une entreprise. Réponse: ""gestion""",経営,经营,management,gestion,事業,管理,operation,direction,إدارة
"""主張""は、自分の意見を強く言うことです。答え: ""主張""","""主张""是强烈表达自己的观点。答案: ""主张""","""Assertion"" is strongly stating one's opinion. Answer: ""assertion""","""Affirmation"" est le fait de déclarer fermement son opinion. Réponse: ""affirmation""","""__""は、自分の意見を強く言うことです。答え: ""主張""","""__""是强烈表达自己的观点。答案: ""主张""","""__"" is strongly stating one's opinion. Answer: ""assertion""","""__"" est le fait de déclarer fermement son opinion. Réponse: ""affirmation""",主張,主张,assertion,affirmation,強く,强调,assert,affirmer,ادعاء
"""選択""は、複数の中から選ぶことです。答え: ""選択""","""选择""是从多个选项中挑选。答案: ""选择""","""Choice"" is selecting from multiple options. Answer: ""choice""","""Choix"" est sélectionner parmi plusieurs options. Réponse: ""choix""","""__""は、複数の中から選ぶことです。答え: ""選択""","""__""是从多个选项中挑选。答案: ""选择""","""__"" is selecting from multiple options. Answer: ""choice""","""__"" est sélectionner parmi plusieurs options. Réponse: ""choix""",選択,选择,choice,choix,選ぶ,选项,decision,sélection,اختيار
"""発展""は、成長や進化です。答え: ""発展""","""发展""是成长和进步。答案: ""发展""","""Development"" is growth and evolution. Answer: ""development""","""Développement"" est la croissance et l'évolution. Réponse: ""développement""","""__""は、成長や進化です。答え: ""発展""","""__""是成长和进步。答案: ""发展""","""__"" is growth and evolution. Answer: ""development""","""__"" est la croissance et l'évolution. Réponse: ""développement""",発展,发展,development,développement,発達,生长,progress,progrès,تطوير
"""開発""は、新しいものを作ることです。答え: ""開発""","""开发""是创造新事物。答案: ""开发""","""Development"" is the creation of new things. Answer: ""development""","""Développement"" est la création de nouvelles choses. Réponse: ""développement""","""__""は、新しいものを作ることです。答え: ""開発""","""__""是创造新事物。答案: ""开发""","""__"" is the creation of new things. Answer: ""development""","""__"" est la création de nouvelles choses. Réponse: ""développement""",開発,开发,innovation,créativ,発明,创造,creation,création,ابتكار
"""設定""は、条件や環境を決めることです。答え: ""設定""","""设定""是决定条件或环境。答案: ""设定""","""Setting"" is the determination of conditions or environment. Answer: ""setting""","""Paramètre"" est la détermination des conditions ou de l'environnement. Réponse: ""paramètre""","""__""は、条件や環境を決めることです。答え: ""設定""","""__""是决定条件或环境。答案: ""设定""","""__"" is the determination of conditions or environment. Answer: ""setting""","""__"" est la détermination des conditions ou de l'environnement. Réponse: ""paramètre""",設定,设定,setting,paramètre,天気,条件,situation,conditions,إعداد
"""成長""は、規模や能力の増加です。答え: ""成長""","""成长""是规模或能力的增加。答案: ""成长""","""Growth"" is the increase in size or ability. Answer: ""growth""","""Croissance"" est l'augmentation de la taille ou de la capacité. Réponse: ""croissance""","""__""は、規模や能力の増加です。答え: ""成長""","""__""是规模或能力的增加。答案: ""成长""","""__"" is the increase in size or ability. Answer: ""growth""","""__"" est l'augmentation de la taille ou de la capacité. Réponse: ""croissance""",成長,成长,growth,croissance,拡大,增加,development,augmentation,نمو
"""夫婦""は、結婚している二人です。答え: ""夫婦""","""夫妇""是已婚的两个人。答案: ""夫妇""","""Married couple"" is two people who are married. Answer: ""married couple""","""Couple marié"" est deux personnes qui sont mariées. Réponse: ""couple marié""","""__""は、結婚している二人です。答え: ""夫婦""","""__""是已婚的两个人。答案: ""夫妇""","""__"" is two people who are married. Answer: ""married couple""","""__"" est deux personnes qui sont mariées. Réponse: ""couple marié""",夫婦,夫妇,couple,couple marié,カップル,夫妻,spouse,mariés,زوجين
"""実現""は、目標や夢を達成することです。答え: ""実現""","""实现""是达成目标或梦想。答案: ""实现""","""Realization"" is achieving goals or dreams. Answer: ""realization""","""Réalisation"" est atteindre des objectifs ou des rêves. Réponse: ""réalisation""","""__""は、目標や夢を達成することです。答え: ""実現""","""__""是达成目标或梦想。答案: ""实现""","""__"" is achieving goals or dreams. Answer: ""realization""","""__"" est atteindre des objectifs ou des rêves. Réponse: ""réalisation""",実現,实现,realization,réalisation,達成,完成,success,réaliser,تحقيق
"""体験""は、実際に経験することです。答え: ""体験""","""体验""是亲身经历的事情。答案: ""体验""","""Experience"" is something lived through personally. Answer: ""experience""","""Expérience"" est quelque chose vécu personnellement. Réponse: ""expérience""","""__""は、実際に経験することです。答え: ""体験""","""__""是亲身经历的事情。答案: ""体验""","""__"" is something lived through personally. Answer: ""experience""","""__"" est quelque chose vécu personnellement. Réponse: ""expérience""",体験,体验,experience,expérience,経験,经验,life,vécu,تجربة
"""感覚""は、感じ取ることです。答え: ""感覚""","""感觉""是感知事物。答案: ""感觉""","""Sense"" is the perception of things. Answer: ""sense""","""Sensation"" est la perception des choses. Réponse: ""sensation""","""__""は、感じ取ることです。答え: ""感覚""","""__""是感知事物。答案: ""感觉""","""__"" is the perception of things. Answer: ""sense""","""__"" est la perception des choses. Réponse: ""sensation""",感覚,感觉,sense,sensation,知覚,感受,opinion,perception,إحساس
"""規定""は、ルールやガイドラインです。答え: ""規定""","""规定""是规则和指南。答案: ""规定""","""Regulation"" is rules or guidelines. Answer: ""regulation""","""Régulation"" est des règles ou des lignes directrices. Réponse: ""régulation""","""__""は、ルールやガイドラインです。答え: ""規定""","""__""是规则和指南。答案: ""规定""","""__"" is rules or guidelines. Answer: ""regulation""","""__"" est des règles ou des lignes directrices. Réponse: ""régulation""",規定,规定,regulation,règlement,規則,规则,law,règles,لائحة
"""基準""は、判断のための基準です。答え: ""基準""","""基准""是用于判断的标准。答案: ""基准""","""Standard"" is the criteria for judgment. Answer: ""standard""","""Norme"" est les critères pour le jugement. Réponse: ""norme""","""__""は、判断のための基準です。答え: ""基準""","""__""是用于判断的标准。答案: ""基准""","""__"" is the criteria for judgment. Answer: ""standard""","""__"" est les critères pour le jugement. Réponse: ""norme""",基準,基准,standard,norme,評価,标准,criterion,critères,معيار
"""資料""は、情報やデータの集合です。答え: ""資料""","""资料""是信息和数据的集合。答案: ""资料""","""Material"" is a collection of information or data. Answer: ""material""","""Matériel"" est une collection d'informations ou de données. Réponse: ""matériel""","""__""は、情報やデータの集合です。答え: ""資料""","""__""是信息和数据的集合。答案: ""资料""","""__"" is a collection of information or data. Answer: ""material""","""__"" est une collection d'informations ou de données. Réponse: ""matériel""",資料,资料,material,matériel,データベース,信息,database,base de données,مادة
"""契約""は、法的な合意です。答え: ""契約""","""契约""是法律上的协议。答案: ""契约""","""Contract"" is a legal agreement. Answer: ""contract""","""Contrat"" est un accord légal. Réponse: ""contrat""","""__""は、法的な合意です。答え: ""契約""","""__""是法律上的协议。答案: ""契约""","""__"" is a legal agreement. Answer: ""contract""","""__"" est un accord légal. Réponse: ""contrat""",契約,契约,contract,contrat,契約,法律,treaty,accord,عقد
"""年齢""は、生まれてからの年数です。答え: ""年齢""","""年龄""是从出生到现在的年数。答案: ""年龄""","""Age"" is the number of years since birth. Answer: ""age""","""âge"" est le nombre d'années depuis la naissance. Réponse: ""âge""","""__""は、生まれてからの年数です。答え: ""年齢""","""__""是从出生到现在的年数。答案: ""年龄""","""__"" is the number of years since birth. Answer: ""age""","""__"" est le nombre d'années depuis la naissance. Réponse: ""âge""",年齢,年龄,age,âge,年数,寿命,lifespan,années,عمر
"""範囲""は、特定の領域や幅です。答え: ""範囲""","""范围""是特定的领域或宽度。答案: ""范围""","""Range"" is a specific area or width. Answer: ""range""","""Plage"" est une zone ou une largeur spécifique. Réponse: ""plage""","""__""は、特定の領域や幅です。答え: ""範囲""","""__""是特定的领域或宽度。答案: ""范围""","""__"" is a specific area or width. Answer: ""range""","""__"" est une zone ou une largeur spécifique. Réponse: ""plage""",範囲,范围,range,plage,分野,领域,span,largeur,نطاق
"""登場""は、舞台やシーンへの出現です。答え: ""登場""","""登场""是出现于舞台或场景。答案: ""登场""","""Appearance"" is the emergence on stage or scene. Answer: ""appearance""","""Apparition"" est l'émergence sur scène ou scène. Réponse: ""apparition""","""__""は、舞台やシーンへの出現です。答え: ""登場""","""__""是出现于舞台或场景。答案: ""登场""","""__"" is the emergence on stage or scene. Answer: ""appearance""","""__"" est l'émergence sur scène ou scène. Réponse: ""apparition""",登場,登场,appearance,apparition,出現,出场,debut,début,ظهور
